Name,Class,RaceFaction,Length,Crew,MaxWarp,Armament,ShieldType,HullMaterial,Role
VSS-1000,4,Vulcan,425,141,7.15,Pulse Cannons,Adaptive Shields,Composite Hull,4
IKS-1001,4,Klingon,83,762,6.56,Polaron Beams,Ablative Shields,Neutronium Alloy,4
IKS-1002,6,Klingon,1275,230,8.25,Plasma Torpedoes,Deflector Shields,Neutronium Alloy,6
CSS-1003,2,Cardassian,480,1134,9.26,Photon Torpedoes,Regenerative Shields,Neutronium Alloy,2
VSS-1004,6,Vulcan,1343,292,7.45,Cutting Beam,Deflector Shields,Composite Hull,6
FMS-1005,3,Ferengi,1185,192,8.38,Pulse Cannons,Ablative Shields,Composite Hull,3
USS-1006,5,Federation,1468,208,7.97,Disruptors,Deflector Shields,Duranium/Tritanium,5
IKS-1007,8,Klingon,335,210,7.52,Disruptors,Regenerative Shields,Composite Hull,8
IRW-1008,3,Romulan,814,1428,7.5,Plasma Torpedoes,Adaptive Shields,Adaptive Armor,3
VSS-1009,0,Vulcan,660,272,7.29,Pulse Cannons,Regenerative Shields,Adaptive Armor,0
IKS-1010,5,Klingon,577,668,9.38,Cutting Beam,Regenerative Shields,Duranium/Tritanium,5
IRW-1011,4,Romulan,261,1304,8.03,Pulse Cannons,Adaptive Shields,Neutronium Alloy,4
CSS-1012,6,Cardassian,586,833,7.68,Polaron Beams,Deflector Shields,Duranium/Tritanium,6
CSS-1013,8,Cardassian,1215,667,7.69,Disruptors,Adaptive Shields,Composite Hull,8
USS-1014,2,Federation,764,754,8.09,Phasers,Regenerative Shields,Duranium/Tritanium,2
FMS-1015,8,Ferengi,1192,94,6.47,Polaron Beams,Regenerative Shields,Neutronium Alloy,8
IKS-1016,3,Klingon,980,397,8.0,Plasma Torpedoes,Deflector Shields,Neutronium Alloy,3
JemHadar-1017,0,Dominion,1081,313,7.6,Cutting Beam,Regenerative Shields,Duranium/Tritanium,0
IKS-1018,1,Klingon,274,436,7.02,Polaron Beams,Adaptive Shields,Adaptive Armor,1
IKS-1019,1,Klingon,869,379,9.16,Photon Torpedoes,Ablative Shields,Duranium/Tritanium,1
IRW-1020,1,Romulan,165,292,8.14,Photon Torpedoes,Adaptive Shields,Adaptive Armor,1
